dataset,backbone,modalities,method,run,acc,wf1
mosi_coid,simple,atv,baseline,1,0.7274052478134111,0.7295455391589134
mosi_coid,simple,atv,baseline,mean,72.74,72.95
mosi_coid,simple,atv,dnr,1,0.7317784256559767,0.7331941331210637
mosi_coid,simple,atv,dnr,mean,73.18,73.32
mosi_coid,simple,av,baseline,1,0.4037900874635568,0.23229460898734217
mosi_coid,simple,av,baseline,mean,40.38,23.23
mosi_coid,simple,av,dnr,1,0.7128279883381924,0.7122088129632062
mosi_coid,simple,av,dnr,mean,71.28,71.22
mosi_coid,simple,at,baseline,1,0.4037900874635568,0.24949735985966276
mosi_coid,simple,at,baseline,mean,40.38,24.95
mosi_coid,simple,at,dnr,1,0.7157434402332361,0.7182365477959243
mosi_coid,simple,at,dnr,mean,71.57,71.82
mosi_coid,simple,tv,baseline,1,0.7478134110787172,0.7478862692461473
mosi_coid,simple,tv,baseline,mean,74.78,74.79
mosi_coid,simple,tv,dnr,1,0.7317784256559767,0.7330901027723971
mosi_coid,simple,tv,dnr,mean,73.18,73.31
mosi_coid,mmgcn,atv,baseline,1,0.7274052478134111,0.7295455391589134
mosi_coid,mmgcn,atv,baseline,mean,72.74,72.95
mosi_coid,mmgcn,atv,dnr,1,0.7317784256559767,0.7331941331210637
mosi_coid,mmgcn,atv,dnr,mean,73.18,73.32
mosi_coid,mmgcn,av,baseline,1,0.4037900874635568,0.23229460898734217
mosi_coid,mmgcn,av,baseline,mean,40.38,23.23
mosi_coid,mmgcn,av,dnr,1,0.7128279883381924,0.7122088129632062
mosi_coid,mmgcn,av,dnr,mean,71.28,71.22
mosi_coid,mmgcn,at,baseline,1,0.4037900874635568,0.24949735985966276
mosi_coid,mmgcn,at,baseline,mean,40.38,24.95
mosi_coid,mmgcn,at,dnr,1,0.7157434402332361,0.7182365477959243
mosi_coid,mmgcn,at,dnr,mean,71.57,71.82
mosi_coid,mmgcn,tv,baseline,1,0.7478134110787172,0.7478862692461473
mosi_coid,mmgcn,tv,baseline,mean,74.78,74.79
mosi_coid,mmgcn,tv,dnr,1,0.7317784256559767,0.7330901027723971
mosi_coid,mmgcn,tv,dnr,mean,73.18,73.31
mosi_coid,dialogue_gcn,atv,baseline,1,0.7274052478134111,0.7295455391589134
mosi_coid,dialogue_gcn,atv,baseline,mean,72.74,72.95
mosi_coid,dialogue_gcn,atv,dnr,1,0.7317784256559767,0.7331941331210637
mosi_coid,dialogue_gcn,atv,dnr,mean,73.18,73.32
mosi_coid,dialogue_gcn,av,baseline,1,0.4037900874635568,0.23229460898734217
